feature,importance,Variable_origine
low_card__eca_obtained_Yes,0.10426523,eca_obtained_Yes
num__experience_totale,0.049138073,experience_totale
num__ratio_fonds,0.045835223,ratio_fonds
num__clb_english_min,0.036514163,clb_english_min
low_card__education_level_Two-year post-secondary,0.03259947,education_level_Two-year post-secondary
num__nclc_french_min,0.030717216,nclc_french_min
low_card__medical_exam_ok_Yes,0.028710693,medical_exam_ok_Yes
low_card__provincial_nomination_Yes,0.027775647,provincial_nomination_Yes
low_card__education_level_One-year post-secondary,0.024142906,education_level_One-year post-secondary
low_card__teer_category_TEER 4,0.023146704,teer_category_TEER 4
low_card__education_level_Master degree,0.020759625,education_level_Master degree
num__years_foreign_experience,0.019823834,years_foreign_experience
low_card__program_CEC,0.019054225,program_CEC
num__years_canadian_experience,0.01898083,years_canadian_experience
low_card__sector_Other,0.018711139,sector_Other
low_card__english_test_IELTS,0.017927896,english_test_IELTS
num__nclc_french_mean,0.01767924,nclc_french_mean
low_card__criminal_record_Serious,0.017399557,criminal_record_Serious
num__clb_speaking_english,0.016091153,clb_speaking_english
low_card__job_offer_teer_TEER 0,0.015003183,job_offer_teer_TEER 0
low_card__program_PNP,0.014710256,program_PNP
num__funds_available_cad,0.014337237,funds_available_cad
low_card__inadmissibility_Yes,0.013759763,inadmissibility_Yes
low_card__program_FSWP,0.012810651,program_FSWP
num__clb_english_mean,0.012487039,clb_english_mean
low_card__teer_category_TEER 2,0.012480318,teer_category_TEER 2
num__clb_listening_english,0.012406733,clb_listening_english
low_card__sector_Healthcare,0.01223515,sector_Healthcare
low_card__education_level_PhD,0.011787138,education_level_PhD
num__nclc_listening_french,0.011320457,nclc_listening_french
low_card__program_FSTP,0.010917161,program_FSTP
low_card__sector_Trades,0.010781622,sector_Trades
low_card__job_offer_teer_None,0.010713061,job_offer_teer_None
low_card__job_offer_canada_Yes,0.010554189,job_offer_canada_Yes
num__application_year,0.010291014,application_year
low_card__teer_category_TEER 5,0.010023777,teer_category_TEER 5
low_card__education_level_Bachelor degree,0.009794066,education_level_Bachelor degree
low_card__education_level_Secondary diploma,0.00953819,education_level_Secondary diploma
num__nclc_speaking_french,0.009365214,nclc_speaking_french
low_card__sector_STEM,0.00927683,sector_STEM
low_card__teer_category_TEER 3,0.008928246,teer_category_TEER 3
low_card__criminal_record_None,0.008712773,criminal_record_None
low_card__sector_Business,0.008522028,sector_Business
num__nclc_reading_french,0.008216583,nclc_reading_french
low_card__family_in_canada_Yes,0.008158503,family_in_canada_Yes
low_card__job_offer_teer_TEER 1,0.007917417,job_offer_teer_TEER 1
low_card__teer_category_TEER 1,0.007882687,teer_category_TEER 1
low_card__teer_category_TEER 0,0.007674982,teer_category_TEER 0
low_card__job_offer_teer_TEER 4,0.0073352545,job_offer_teer_TEER 4
num__nclc_writing_french,0.0073273107,nclc_writing_french
low_card__is_francophone_country_1,0.0069902674,is_francophone_country_1
num__age,0.0069864984,age
low_card__studied_in_canada_Yes,0.006931653,studied_in_canada_Yes
low_card__criminal_record_Minor,0.0063281604,criminal_record_Minor
low_card__sector_Agriculture,0.005925697,sector_Agriculture
high_card__country_of_origin,0.0057180338,country_of_origin
num__clb_writing_english,0.0056750057,clb_writing_english
low_card__sector_Transport,0.0053059333,sector_Transport
low_card__french_test_TCF Canada,0.0052202935,french_test_TCF Canada
low_card__sector_Education,0.0050940085,sector_Education
num__clb_reading_english,0.005038232,clb_reading_english
low_card__french_test_TEF Canada,0.0048779678,french_test_TEF Canada
low_card__job_offer_teer_TEER 3,0.0048450944,job_offer_teer_TEER 3
low_card__sex_Male,0.0047728564,sex_Male
low_card__marital_status_Single,0.0046726963,marital_status_Single
low_card__marital_status_Married,0.004202098,marital_status_Married
num__dependants,0.00411706,dependants
low_card__english_test_PTE,0.004103885,english_test_PTE
low_card__english_test_CELPIP,0.0035920725,english_test_CELPIP
low_card__marital_status_Divorced,0.002563199,marital_status_Divorced
low_card__job_offer_teer_TEER 2,0.0024976942,job_offer_teer_TEER 2
low_card__french_test_None,0.0,french_test_None
low_card__education_level_Less than secondary,0.0,education_level_Less than secondary
low_card__marital_status_Widowed,0.0,marital_status_Widowed
low_card__job_offer_teer_TEER 5,0.0,job_offer_teer_TEER 5
